country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
7.0,89,25.0,22.0,26.0,8.0,23.0,1,0,0,0,0,0,2015.0,0
1.0,88,10.0,9.0,38.0,7.0,28.0,1,0,0,0,0,0,2015.0,0
12.0,89,40.0,30.0,,14.0,9.0,1,0,0,0,0,0,2009.0,1
1.0,85,15.0,9.0,51.0,,36.0,0,1,0,0,0,1,2007.0,1
1.0,94,100.0,9.0,52.0,,8.0,0,0,0,0,0,0,2010.0,0
1.0,90,,9.0,53.0,7.0,15.0,0,0,0,0,0,0,2012.0,1
7.0,88,15.0,31.0,54.0,8.0,37.0,0,0,0,0,0,0,2015.0,0
1.0,84,13.0,9.0,55.0,,9.0,1,0,0,0,0,0,,1
1.0,87,25.0,15.0,43.0,11.0,8.0,0,0,0,0,0,0,2014.0,0
1.0,91,65.0,9.0,48.0,,30.0,1,0,0,0,0,1,2009.0,0
1.0,87,40.0,9.0,53.0,12.0,1.0,0,0,0,0,0,0,2010.0,0
1.0,92,30.0,1.0,56.0,1.0,1.0,0,0,0,0,0,0,2011.0,0
5.0,89,22.0,13.0,57.0,3.0,13.0,1,0,0,0,0,0,2014.0,0
1.0,90,75.0,1.0,58.0,11.0,30.0,1,0,0,0,0,0,2009.0,0
5.0,84,29.0,8.0,59.0,3.0,8.0,0,0,0,0,0,0,2012.0,0
1.0,91,55.0,9.0,60.0,12.0,6.0,1,1,0,0,0,0,2014.0,0
5.0,86,12.0,11.0,61.0,3.0,12.0,1,0,0,0,1,0,2015.0,1
7.0,87,40.0,10.0,7.0,8.0,10.0,1,0,0,0,0,0,2012.0,0
1.0,91,34.0,9.0,33.0,9.0,30.0,0,0,0,0,0,0,2012.0,0
7.0,92,,10.0,17.0,8.0,10.0,1,0,0,0,0,0,2013.0,0
1.0,92,89.0,1.0,62.0,1.0,12.0,1,0,0,0,0,0,2013.0,1
5.0,88,16.0,32.0,63.0,3.0,26.0,0,0,0,0,0,0,2010.0,0
1.0,85,30.0,9.0,64.0,,6.0,1,0,0,0,1,0,2009.0,0
6.0,80,13.0,7.0,4.0,6.0,8.0,0,0,0,0,0,0,2009.0,0
3.0,88,16.0,33.0,,3.0,38.0,0,0,0,0,0,0,2014.0,0
7.0,88,18.0,10.0,65.0,8.0,9.0,1,0,0,0,0,0,2013.0,1
5.0,89,38.0,11.0,66.0,3.0,28.0,0,0,0,0,0,0,2014.0,0
10.0,85,12.0,21.0,,6.0,30.0,0,0,0,0,0,0,2015.0,0
3.0,88,12.0,34.0,,3.0,39.0,0,0,0,0,0,0,2016.0,0
10.0,91,40.0,35.0,,6.0,9.0,0,0,0,0,0,0,2013.0,1
7.0,87,30.0,10.0,67.0,8.0,10.0,0,0,0,0,0,0,2011.0,0
