country,points,price,province,region_1,taster_name,variety,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,year,is_blend
Italy,89,40.0,Piedmont,Barolo,Kerin O’Keefe,Nebbiolo,1,1,0,0,0,0,2011.0,0
US,90,36.0,Oregon,Willamette Valley,Paul Gregutt,Chardonnay,0,0,0,0,0,0,2015.0,0
Italy,87,19.0,Sicily & Sardinia,Sicilia,,Nero d'Avola,0,0,0,0,0,0,2008.0,0
France,84,45.0,Champagne,Champagne,Roger Voss,Champagne Blend,0,0,0,0,0,0,,1
France,90,65.0,Bordeaux,Saint-Émilion,Roger Voss,Bordeaux-style Red Blend,1,0,0,0,0,0,2012.0,1
Australia,91,18.0,South Australia,Barossa,Joe Czerwinski,Shiraz,0,0,0,0,0,0,2014.0,0
US,90,55.0,Oregon,Dundee Hills,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2012.0,0
US,91,50.0,California,Mount Veeder,Virginie Boone,Malbec,1,0,0,0,0,0,2012.0,0
Portugal,90,12.0,Douro,,Roger Voss,Portuguese Red,1,0,0,0,0,0,2005.0,0
US,89,35.0,Oregon,Willamette Valley,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2014.0,0
US,88,16.0,California,Paso Robles,Matt Kettmann,Orange Muscat,0,0,0,0,0,0,2016.0,0
France,84,,Beaujolais,Brouilly,Roger Voss,Gamay,0,0,0,0,0,0,2014.0,0
US,89,60.0,Oregon,Eola-Amity Hills,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2014.0,0
US,88,55.0,California,Russian River Valley,,Pinot Noir,0,0,0,0,0,0,2010.0,0
Italy,89,25.0,Piedmont,Barbera d'Alba Superiore,Kerin O’Keefe,Barbera,1,0,0,0,0,0,2015.0,0
US,88,10.0,California,California,Jim Gordon,Merlot,1,0,0,0,0,0,2015.0,0
Serbia,89,40.0,Župa,,Jeff Jenssen,Red Blend,1,0,0,0,0,0,2009.0,1
US,85,15.0,California,High Valley,,White Blend,0,1,0,0,0,1,2007.0,1
US,94,100.0,California,Sonoma Mountain,,Chardonnay,0,0,0,0,0,0,2010.0,0
US,90,,California,Livermore Valley,Jim Gordon,Rhône-style Red Blend,0,0,0,0,0,0,2012.0,1
Italy,88,15.0,Southern Italy,Irpinia,Kerin O’Keefe,Falanghina,0,0,0,0,0,0,2015.0,0
US,84,13.0,California,Napa Valley,,Red Blend,1,0,0,0,0,0,,1
US,87,25.0,Oregon,Willamette Valley,Paul Gregutt,Chardonnay,0,0,0,0,0,0,2014.0,0
US,91,65.0,California,Mount Veeder,,Cabernet Sauvignon,1,0,0,0,0,1,2009.0,0
US,87,40.0,California,Livermore Valley,Virginie Boone,Syrah,0,0,0,0,0,0,2010.0,0
US,92,30.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Syrah,0,0,0,0,0,0,2011.0,0
France,89,22.0,Beaujolais,Côte de Brouilly,Roger Voss,Gamay,1,0,0,0,0,0,2014.0,0
US,90,75.0,Washington,Red Mountain,Paul Gregutt,Cabernet Sauvignon,1,0,0,0,0,0,2009.0,0
France,84,29.0,Burgundy,Pouilly-Fuissé,Roger Voss,Chardonnay,0,0,0,0,0,0,2012.0,0
US,91,55.0,California,Green Valley,Virginie Boone,Pinot Noir,1,1,0,0,0,0,2014.0,0
France,86,12.0,Bordeaux,Bordeaux Clairet,Roger Voss,Bordeaux-style Red Blend,1,0,0,0,1,0,2015.0,1
Italy,87,40.0,Tuscany,Brunello di Montalcino,Kerin O’Keefe,Sangiovese,1,0,0,0,0,0,2012.0,0
US,91,34.0,California,Santa Ynez Valley,Matt Kettmann,Cabernet Sauvignon,0,0,0,0,0,0,2012.0,0
Italy,92,,Tuscany,Toscana,Kerin O’Keefe,Sangiovese,1,0,0,0,0,0,2013.0,0
US,92,89.0,Washington,Columbia Valley,Sean P. Sullivan,Bordeaux-style Red Blend,1,0,0,0,0,0,2013.0,1
France,88,16.0,Loire Valley,Touraine,Roger Voss,Sauvignon Blanc,0,0,0,0,0,0,2010.0,0
US,85,30.0,California,Sonoma County,,Pinot Noir,1,0,0,0,1,0,2009.0,0
Argentina,80,13.0,Mendoza Province,Mendoza,Michael Schachner,Chardonnay,0,0,0,0,0,0,2009.0,0
Portugal,88,16.0,Alentejano,,Roger Voss,Viognier,0,0,0,0,0,0,2014.0,0
Italy,88,18.0,Tuscany,Maremma Toscana,Kerin O’Keefe,Red Blend,1,0,0,0,0,0,2013.0,1
France,89,38.0,Bordeaux,Cadillac Côtes de Bordeaux,Roger Voss,Merlot,0,0,0,0,0,0,2014.0,0
Chile,85,12.0,Maule Valley,,Michael Schachner,Cabernet Sauvignon,0,0,0,0,0,0,2015.0,0
Portugal,88,12.0,Lisboa,,Roger Voss,Arinto,0,0,0,0,0,0,2016.0,0
Chile,91,40.0,Maipo Valley,,Michael Schachner,Red Blend,0,0,0,0,0,0,2013.0,1
Italy,87,30.0,Tuscany,Rosso di Montalcino,Kerin O’Keefe,Sangiovese,0,0,0,0,0,0,2011.0,0
US,90,64.0,California,St. Helena,Virginie Boone,Cabernet Sauvignon,1,0,0,0,0,0,2012.0,0
Israel,90,17.0,Galilee,,Mike DeSimone,Shiraz,1,0,0,0,0,0,2012.0,0
Italy,93,40.0,Sicily & Sardinia,Etna,Kerin O’Keefe,Nerello Mascalese,1,0,1,0,0,0,2010.0,0
France,93,67.0,Burgundy,Chablis,Roger Voss,Chardonnay,0,0,0,0,1,0,2006.0,0
US,88,22.0,Oregon,Oregon,Paul Gregutt,Pinot Noir,0,0,1,0,0,0,2012.0,0
France,93,29.0,Alsace,Alsace,Anne Krebiehl MW,Gewürztraminer,0,0,0,0,0,1,2012.0,0
Italy,89,22.0,Veneto,Valdobbiadene Prosecco Superiore,Kerin O’Keefe,Glera,0,1,0,0,1,0,2016.0,0
US,87,45.0,California,Sonoma County,,Zinfandel,0,0,0,0,0,0,2011.0,0
Italy,89,32.0,Sicily & Sardinia,Cerasuolo di Vittoria Classico,Kerin O’Keefe,Red Blend,0,0,0,0,0,0,2012.0,1
New Zealand,91,35.0,Marlborough,,Joe Czerwinski,Pinot Noir,1,0,0,0,1,0,2012.0,0
Portugal,87,,Península de Setúbal,,Roger Voss,Syrah,1,0,0,0,0,0,2013.0,0
Italy,87,,Northeastern Italy,Venezia Giulia,,Sauvignon,0,0,0,0,0,0,2006.0,0
US,88,48.0,California,Santa Cruz Mountains,,Meritage,0,0,0,0,1,0,2006.0,0
France,85,,Burgundy,Viré-Clessé,Roger Voss,Chardonnay,0,1,0,0,0,0,2006.0,0
US,93,100.0,California,Santa Lucia Highlands,Matt Kettmann,Pinot Noir,1,0,0,0,0,0,2014.0,0
Italy,86,,Tuscany,Rosso di Montalcino,Kerin O’Keefe,Sangiovese,0,0,0,0,0,0,2011.0,0
France,87,13.0,Southwest France,Côtes de Gascogne,Roger Voss,Chenin Blanc-Chardonnay,0,1,0,0,0,0,2014.0,1
France,91,55.0,Champagne,Champagne,Roger Voss,Champagne Blend,0,0,0,0,1,0,,1
South Africa,85,18.0,Vlootenburg,,,Syrah,0,0,0,0,0,0,2000.0,0
US,90,40.0,California,Sta. Rita Hills,Matt Kettmann,Syrah,0,0,0,0,1,0,2013.0,0
US,87,13.0,California,Lake County,Jim Gordon,Sauvignon Blanc,0,0,0,0,0,0,2014.0,0
Spain,87,9.0,Northern Spain,Rioja,Michael Schachner,Viura,0,1,0,0,0,0,2012.0,0
US,91,44.0,California,Sonoma County,Virginie Boone,Red Blend,1,0,0,0,0,0,2015.0,1
New Zealand,88,22.0,Central Otago,,Joe Czerwinski,Chardonnay,0,0,0,0,0,1,2010.0,0
Austria,91,45.0,Burgenland,,Roger Voss,Blaufränkisch,1,0,0,0,0,0,2005.0,0
Italy,85,,Veneto,Valpolicella Ripasso,,"Corvina, Rondinella, Molinara",0,0,0,0,1,0,2008.0,0
France,87,15.0,Provence,Côtes de Provence,Roger Voss,Rosé,1,0,0,0,0,0,2015.0,0
US,90,28.0,Idaho,,Sean P. Sullivan,Syrah,0,0,0,0,0,0,2013.0,0
US,85,28.0,California,Sonoma Coast,,White Blend,0,0,0,0,0,1,2009.0,1
Italy,89,16.0,Southern Italy,Falanghina del Beneventano,Kerin O’Keefe,Falanghina,0,1,0,0,0,0,2015.0,0
Italy,84,18.0,Southern Italy,Campania,,Red Blend,1,0,0,0,0,0,2006.0,1
US,88,35.0,California,Dry Creek Valley,Virginie Boone,Zinfandel,0,0,0,0,0,0,2012.0,0
US,91,35.0,Oregon,Walla Walla Valley (OR),Paul Gregutt,Rosé,0,0,1,0,0,0,2010.0,0
US,83,32.0,California,Napa Valley,Virginie Boone,Red Blend,0,0,0,0,0,0,2012.0,1
US,89,95.0,California,Napa Valley,Virginie Boone,Cabernet Sauvignon,1,0,0,0,0,0,2012.0,0
US,93,50.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Bordeaux-style Red Blend,1,0,0,0,0,0,2013.0,1
US,85,23.0,California,Sonoma County,Virginie Boone,Cabernet Sauvignon,1,0,0,0,0,0,2012.0,0
US,91,34.0,California,Russian River Valley,,Zinfandel,1,0,0,0,0,0,1999.0,0
US,91,48.0,Washington,Yakima Valley,Paul Gregutt,Bordeaux-style Red Blend,1,0,0,0,0,0,2011.0,1
US,90,45.0,California,Sta. Rita Hills,,Chardonnay,0,0,0,0,1,1,2010.0,0
US,88,12.0,Washington,Columbia Valley (WA),Paul Gregutt,Pinot Gris,0,1,0,0,0,0,2011.0,0
France,86,26.0,Bordeaux,Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,0,0,0,0,0,0,2011.0,1
US,91,55.0,California,San Luis Obispo County,Matt Kettmann,Syrah,0,0,0,0,0,0,2013.0,0
Argentina,91,20.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,0,0,0,0,0,0,2007.0,0
US,91,34.0,California,Santa Lucia Highlands,Matt Kettmann,Pinot Noir,0,0,0,0,0,0,2014.0,0
US,88,28.0,California,Paso Robles,Matt Kettmann,Rhône-style White Blend,0,1,0,0,0,0,2015.0,1
US,86,8.0,California,California,,White Blend,0,1,0,0,0,0,2012.0,1
Chile,90,19.0,Colchagua Valley,,Michael Schachner,Red Blend,1,0,0,0,0,0,2013.0,1
France,88,23.0,Burgundy,Chablis,Roger Voss,Chardonnay,0,0,0,0,0,0,2014.0,0
New Zealand,92,52.0,Kumeu,,Joe Czerwinski,Chardonnay,0,0,0,0,0,0,2013.0,0
US,86,16.0,California,Napa Valley,,Chenin Blanc,0,0,0,0,0,1,2010.0,0
US,88,14.0,California,Central Coast,,Sauvignon Blanc,0,1,0,0,1,0,2009.0,0
Chile,87,15.0,Maipo Valley,,Michael Schachner,Chardonnay,0,0,0,0,0,0,2013.0,0
US,92,20.0,California,Edna Valley,,Riesling,0,1,0,0,1,0,2009.0,0
US,90,14.0,Oregon,Southern Oregon,Paul Gregutt,Pinot Gris,0,1,0,0,0,0,2014.0,0
Spain,90,19.0,Galicia,Rías Baixas,Michael Schachner,Albariño,0,0,0,0,0,0,2015.0,0
Chile,89,20.0,Cachapoal Valley,,Michael Schachner,Syrah,0,0,0,0,0,0,2012.0,0
Spain,90,48.0,Catalonia,Priorat,Michael Schachner,Red Blend,1,0,0,0,0,0,2007.0,1
US,90,38.0,Oregon,McMinnville,Paul Gregutt,Pinot Noir,0,0,0,0,0,0,2009.0,0
South Africa,88,18.0,Western Cape,,Lauren Buzzeo,Chenin Blanc,0,0,0,0,0,0,2014.0,0
US,84,47.0,California,Dry Creek Valley,,Bordeaux-style Red Blend,0,0,0,0,1,0,2006.0,1
US,85,16.0,California,Dunnigan Hills,Jim Gordon,Rosé,0,0,1,0,0,0,2014.0,0
US,88,39.0,California,Monterey,,Syrah,0,0,0,0,0,1,2009.0,0
Portugal,94,94.0,Port,,,Port,1,0,0,0,1,0,1997.0,0
Italy,89,90.0,Veneto,Amarone della Valpolicella Classico,,"Corvina, Rondinella, Molinara",1,0,0,0,0,0,2008.0,0
US,88,32.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Viognier,1,0,0,0,0,0,2013.0,0
US,91,38.0,Washington,Columbia Valley (WA),Paul Gregutt,Merlot,1,0,0,0,0,0,2008.0,0
US,84,19.0,California,San Luis Obispo County,,Grenache,0,0,0,0,1,0,2009.0,0
US,90,28.0,Oregon,Oregon,Paul Gregutt,Tempranillo,0,0,0,0,0,0,2012.0,0
US,88,30.0,California,Paso Robles,Matt Kettmann,Meritage,1,0,0,0,1,0,2012.0,0
Chile,85,19.0,Colchagua Valley,,Michael Schachner,Carmenère,0,0,0,0,0,0,2011.0,0
Italy,86,14.0,Southern Italy,Puglia,,Red Blend,0,0,0,0,0,0,2010.0,1
US,88,31.0,Washington,Columbia Valley (WA),Paul Gregutt,Merlot,0,0,0,0,0,0,2006.0,0
France,91,35.0,Provence,Bandol,Roger Voss,Rosé,0,0,0,0,0,0,2011.0,0
South Africa,85,10.0,Western Cape,,Susan Kostrzewa,Shiraz,0,0,0,0,0,0,2007.0,0
Argentina,87,17.0,Mendoza Province,Uco Valley,Michael Schachner,Malbec,1,0,0,0,0,0,2013.0,0
US,89,20.0,Washington,Columbia Valley (WA),Sean P. Sullivan,Red Blend,1,0,0,0,0,0,2012.0,1
Argentina,92,50.0,Mendoza Province,Mendoza,Michael Schachner,Malbec,1,0,0,0,0,1,2012.0,0
Spain,87,34.0,Catalonia,Costers del Segre,Michael Schachner,Red Blend,1,0,0,0,0,0,2007.0,1
Italy,94,65.0,Tuscany,Brunello di Montalcino,,Sangiovese Grosso,0,0,0,0,0,0,2008.0,0
France,85,25.0,Bordeaux,Blaye Côtes de Bordeaux,Roger Voss,Bordeaux-style Red Blend,1,0,0,0,0,0,2014.0,1
Germany,90,25.0,Mosel,,Joe Czerwinski,Riesling,0,0,0,0,0,0,2009.0,0
Italy,88,50.0,Veneto,Amarone della Valpolicella Classico,Kerin O’Keefe,Red Blend,0,0,0,0,0,0,2008.0,1
US,94,44.0,California,Santa Cruz Mountains,Matt Kettmann,Pinot Noir,0,0,0,0,0,1,2012.0,0
US,86,15.0,Washington,Rattlesnake Hills,Paul Gregutt,Cabernet Sauvignon,1,0,0,0,0,0,2004.0,0
Italy,94,34.0,Piedmont,Barbaresco,Kerin O’Keefe,Nebbiolo,1,0,0,0,0,0,2014.0,0
Australia,93,119.0,South Australia,Barossa,Joe Czerwinski,Shiraz,0,0,0,0,0,0,2009.0,0
US,91,32.0,California,San Luis Obispo,Matt Kettmann,Grenache,1,0,0,0,1,0,2015.0,0
Italy,85,15.0,Southern Italy,Aglianico del Vulture,Kerin O’Keefe,Aglianico,1,1,0,0,0,0,2014.0,0
Italy,87,,Sicily & Sardinia,Sicilia,,Fiano,0,0,0,0,1,0,2009.0,0
France,88,,Bordeaux,Haut-Médoc,Roger Voss,Bordeaux-style Red Blend,1,0,0,0,0,0,2011.0,1
