points
88
89
90
91
90
85
90
87
85
86
92
86
94
82
88
86
91
88
88
90
87
86
91
85
87
94
88
87
87
85
92
85
87
87
85
87
89
91
92
86
89
86
91
85
92
87
87
89
88
93
89
90
91
87
85
88
87
89
90
87
84
90
91
90
91
90
89
88
84
89
88
89
88
89
85
94
90
88
84
87
91
87
92
89
90
84
91
86
87
91
92
92
88
85
80
88
88
89
85
88
91
87
90
90
93
93
88
93
89
87
89
91
87
87
88
85
93
86
87
91
85
90
87
87
91
88
91
85
87
90
85
89
84
88
91
83
89
93
85
91
91
90
88
86
91
91
91
88
86
90
88
92
86
88
87
92
90
90
89
90
90
88
84
85
88
94
89
88
91
84
90
88
85
86
88
91
85
87
89
92
87
94
85
90
88
94
86
94
93
91
85
87
88
91
97
92
90
89
88
88
82
86
86
84
92
87
80
93
92
86
92
84
93
91
91
86
85
92
86
84
92
94
83
84
91
88
89
87
87
88
89
87
85
87
87
90
86
88
95
86
91
85
90
86
89
91
88
87
93
90
87
92
86
89
87
85
85
90
87
93
86
90
91
88
88
91
85
92
88
87
92
89
88
90
87
90
88
91
87
88
86
92
90
86
89
85
87
90
89
83
91
87
92
92
89
92
86
89
86
86
91
87
89
87
91
93
87
90
91
87
91
83
87
88
84
91
87
83
87
88
88
88
88
86
89
91
89
88
85
93
90
92
94
89
88
89
89
86
87
82
87
87
92
88
84
88
87
90
89
94
84
88
84
86
91
84
87
93
92
87
93
85
91
86
87
87
87
93
94
90
87
92
93
89
88
92
86
89
86
94
92
86
89
83
91
87
89
89
94
93
85
87
86
93
87
91
89
86
88
93
87
90
92
89
88
85
86
88
88
90
88
98
87
87
93
95
88
95
93
89
92
91
86
90
95
82
85
90
90
94
89
88
95
93
88
89
87
92
89
92
86
88
85
91
89
90
94
90
88
91
86
88
93
86
89
88
80
88
89
86
94
88
86
86
92
91
89
90
87
88
93
88
90
86
88
88
93
92
88
86
84
90
93
93
84
89
88
86
85
87
86
90
89
87
90
91
87
94
88
90
85
89
91
90
86
90
87
86
89
90
88
88
91
88
89
93
89
91
88
94
89
88
90
89
87
91
87
86
91
83
93
92
84
85
88
88
86
88
85
90
85
88
92
82
92
88
90
86
92
88
91
91
93
91
88
87
88
90
85
90
87
88
85
93
85
91
90
90
95
87
86
88
88
86
90
92
97
96
91
88
84
92
86
86
91
93
84
87
92
93
86
88
90
92
91
92
87
88
92
90
87
91
84
90
90
91
87
91
93
86
83
94
85
90
89
91
93
86
87
86
90
85
87
88
90
90
90
87
88
87
84
87
87
93
88
87
93
87
90
91
91
88
97
86
84
87
86
88
95
92
93
87
86
91
89
87
98
88
88
95
90
92
87
86
87
91
87
84
92
90
83
85
94
91
88
84
89
88
86
87
90
84
87
89
90
85
88
94
84
91
92
87
88
86
90
89
90
92
89
90
85
87
90
92
88
84
87
95
88
93
85
86
95
91
87
90
91
90
88
92
88
93
87
88
93
90
92
92
90
93
87
91
93
95
88
83
87
92
85
90
90
88
91
84
90
88
89
92
90
91
85
82
91
88
91
90
87
94
80
89
85
86
87
90
87
89
88
89
88
90
88
85
92
87
89
90
88
87
86
92
84
84
90
85
88
84
90
88
91
86
86
91
85
86
87
87
94
86
91
91
92
87
85
84
92
88
90
89
86
83
85
93
82
91
93
87
89
86
90
92
92
90
89
92
89
90
86
84
87
91
88
92
84
86
87
84
91
86
88
93
84
86
88
88
86
83
87
82
85
93
87
86
83
91
88
94
92
90
82
87
88
88
88
86
90
94
91
87
83
85
83
90
93
91
92
84
92
90
91
87
93
89
86
87
88
89
91
88
91
90
90
91
91
88
94
88
94
90
88
86
84
87
90
90
87
94
88
86
84
92
90
86
89
84
91
93
90
88
93
87
93
90
89
84
92
93
88
90
90
85
87
82
87
84
84
87
90
83
81
91
92
91
87
92
95
97
91
93
88
86
87
97
89
94
90
81
90
92
91
91
85
95
91
85
87
84
88
86
84
89
94
85
88
89
91
84
92
91
86
85
91
87
92
93
87
86
87
92
89
94
94
90
87
87
91
86
86
90
87
88
87
92
89
88
94
91
92
87
88
94
88
89
93
86
88
85
88
85
87
91
89
89
88
92
92
91
88
86
86
92
90
88
91
92
86
87
86
86
88
85
92
86
93
84
88
85
89
88
97
85
89
89
86
87
91
97
86
94
84
88
91
86
90
90
90
86
91
91
90
90
89
90
87
89
84
92
95
92
88
91
93
86
86
90
87
88
88
87
90
87
90
90
88
88
88
85
89
93
83
90
93
91
91
92
91
95
90
89
88
89
85
91
91
92
90
83
88
85
84
88
93
92
86
88
84
91
90
90
85
88
95
87
90
88
92
93
90
91
89
93
85
87
86
86
88
91
89
93
87
86
90
88
84
87
90
91
91
85
88
90
89
87
91
87
88
88
83
92
87
92
87
95
90
87
83
90
83
88
87
91
85
88
92
85
87
87
85
91
93
89
86
85
88
87
87
87
89
91
89
86
91
85
91
93
83
91
84
91
87
91
88
87
83
90
89
94
90
88
88
86
92
86
88
82
89
88
89
91
90
